datetime,portfolio_value,cash,positions,return
2022-04-30 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-05-02 08:30:00-04:00,100000.0,100000.0,[],0.0
2022-05-02 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-05-02 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-05-03 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-05-04 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-05-05 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-05-06 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-05-07 09:29:00-04:00,100000.0,100000.0,[],0.0
2022-05-07 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-05-09 08:30:00-04:00,100000.0,100000.0,[],0.0
2022-05-09 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-05-09 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-05-10 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-05-11 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-05-12 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-05-13 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-05-14 09:29:00-04:00,100000.0,100000.0,[],0.0
2022-05-14 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-05-16 08:30:00-04:00,100000.0,100000.0,[],0.0
2022-05-16 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-05-16 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-05-17 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-05-18 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-05-19 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-05-20 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-05-21 09:29:00-04:00,100000.0,100000.0,[],0.0
2022-05-21 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-05-23 08:30:00-04:00,100000.0,100000.0,[],0.0
2022-05-23 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-05-23 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-05-24 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-05-25 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-05-26 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-05-27 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-05-28 09:29:00-04:00,100000.0,100000.0,[],0.0
2022-05-28 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-05-31 08:30:00-04:00,100000.0,100000.0,[],0.0
2022-05-31 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-05-31 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-06-01 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-06-02 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-06-03 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-06-04 09:29:00-04:00,100000.0,100000.0,[],0.0
2022-06-04 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-06-06 08:30:00-04:00,100000.0,100000.0,[],0.0
2022-06-06 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-06-06 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-06-07 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-06-08 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-06-09 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-06-10 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-06-11 09:29:00-04:00,100000.0,100000.0,[],0.0
2022-06-11 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-06-13 08:30:00-04:00,100000.0,100000.0,[],0.0
2022-06-13 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-06-13 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-06-14 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-06-15 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-06-16 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-06-17 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-06-18 09:29:00-04:00,100000.0,100000.0,[],0.0
2022-06-18 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-06-21 08:30:00-04:00,100000.0,100000.0,[],0.0
2022-06-21 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-06-21 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-06-22 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-06-23 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-06-24 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-06-25 09:29:00-04:00,100000.0,100000.0,[],0.0
2022-06-25 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-06-27 08:30:00-04:00,100000.0,100000.0,[],0.0
2022-06-27 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-06-27 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-06-28 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-06-29 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-06-30 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-07-01 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-07-02 09:29:00-04:00,100000.0,100000.0,[],0.0
2022-07-02 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-07-05 08:30:00-04:00,100000.0,100000.0,[],0.0
2022-07-05 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-07-05 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-07-06 09:30:00-04:00,100000.0,100000.0,[],0.0
